Corsair Vengeance LPX 16 GB,44,3200,16,2x8,2.749,Black / Yellow
Corsair Vengeance 32 GB,110,5600,32,2x16,3.437,Black
G.Skill Trident Z5 RGB 32 GB,118,6000,32,2x16,3.687,Black
Corsair Vengeance RGB Pro 32 GB,100,3600,32,2x16,3.125,Black
G.Skill Trident Z5 RGB 64 GB,218,6400,64,2x32,3.406,Black / Silver
G.Skill Flare X5 32 GB,107,6000,32,2x16,3.333,Black
Corsair Vengeance LPX 32 GB,82,3600,32,2x16,2.562,Black / Yellow
Corsair Vengeance RGB 32 GB,128,6000,32,2x16,4,White
TEAMGROUP T-Force Delta RGB 32 GB,110,6000,32,2x16,3.437,White
Corsair Vengeance RGB Pro 16 GB,56,3200,16,2x8,3.499,Black
Corsair Vengeance 32 GB,128,6000,32,2x16,4,Black / Gray
Corsair Vengeance RGB 32 GB,120,6000,32,2x16,3.75,Black
TEAMGROUP T-Force Delta RGB 32 GB,110,6000,32,2x16,3.437,Black
Corsair Vengeance 16 GB,70,5200,16,2x8,4.374,Black
Corsair Dominator Platinum 32 GB,1675,2666,32,4x8,52.327,Black / Silver
Corsair Vengeance LPX 16 GB,44,3600,16,2x8,2.749,Black
G.Skill Ripjaws V 32 GB,70,3200,32,2x16,2.187,Black
Silicon Power GAMING 16 GB,36,3200,16,2x8,2.248,Black / Gray
G.Skill Ripjaws S5 32 GB,115,6000,32,2x16,3.593,Black
Corsair Vengeance 64 GB,170,5200,64,2x32,2.656,Black
G.Skill Trident Z5 Neo RGB 32 GB,118,6000,32,2x16,3.687,Black
Corsair Vengeance RGB Pro SL 32 GB,95,3600,32,2x16,2.968,White / Black
Corsair Vengeance RGB 32 GB,118,6000,32,2x16,3.687,Black
Corsair Vengeance LPX 32 GB,77,3200,32,2x16,2.406,Black / Yellow
G.Skill Flare X5 32 GB,107,6000,32,2x16,3.343,Black
TEAMGROUP T-Force Vulcan Z 16 GB,39,3200,16,2x8,2.437,Black
Corsair Vengeance RGB Pro 16 GB,63,3200,16,2x8,3.937,White
G.Skill Trident Z5 Neo 64 GB,210,6000,654,2x32,3.281,Black / Silver
Corsair Vengeance 32 GB,103,5200,32,2x16,3.218,Black
G.Skill Ripjaws V 16 GB,37,3200,16,2x8,2.284,Black
Silicon Power GAMING 32 GB,57,3200,32,2x16,1.78,Black
Corsair Dominator Titanium 64 GB,320,6600,64,2x32,5,White
Kingston FURY Beast 16 GB,45,3200,16,2x8,2.812,Black
Corsair Vengeance RGB 128 GB,440,5600,128,4x32,3.437,Black
G.Skill Trident Z5 RGB 32 GB,135,7200,32,2x16,4.218,Black
Corsair Vengeance RGB 32 GB,120,6000,32,2x16,3.75,Gray
TEAMGROUP T-Force Vulcan Z 32 GB,64,3600,32,2x16,2,Black
Silicon Power Value Gaming 32 GB,93,6000,32,2x16,2.905,Black
G.Skill Ripjaws V 16 GB,50,3600,16,2x8,3.124,Black
TEAMGROUP T-Force Delta RGB 32 GB,95,6000,32,2x16,2.968,White
G.Skill Trident Z RGB 32 GB,116,3200,32,2x16,3.623,Black
Corsair Vengeance RGB 64 GB,215,6000,64,2x32,3.359,Black
Corsair Vengeance 64 GB,240,6400,64,2x32,3.75,Black / Gray
TEAMGROUP T-Force Delta RGB 32 GB,76,3600,32,2x16,2.374,White
G.Skill Trident Z5 RGB 32 GB,125,6400,32,2x16,3.906,Black
Corsair Vengeance LPX 64 GB,140,3200,64,2x32,2.187,Black / Yellow
Kingston FURY Beast 32 GB,128,6000,32,2x16,4,Black
Kingston FURY Beast 16 GB,78,6000,16,2x8,4.874,Black
TEAMGROUP T-Create Expert 32 GB,93,6000,32,2x16,2.906,Black
G.Skill Ripjaws S5 32 GB,103,6000,32,2x16,3.218,Black
